Title,Author,Identifier,Inventory,Count,Rate,Publisher,PublishedDate
毛泽东选集.第一卷.2版,毛泽东著,"A41/2-1=2, 06.2/2034-1=2",21,13,0.62,人民出版社,1991.6
毛泽东选集.第二卷.2版,毛泽东著,"A41/2-2=2, 06.2/2034-2=2",19,11,0.58,人民出版社,1991.6
共产党宣言:马克思诞辰200周年纪念版,中共中央马克思恩格斯列宁斯大林著作编译局编译,A122/2,6,9,1.5,人民出版社,2018
毛泽东选集.第四卷.2版,毛泽东著,"A41/2-4=2, 06.2/2034-4=2",19,6,0.32,人民出版社,1991
资本论.第1卷,(德)马克思著,A123/8-1,6,6,1.0,人民出版社,2018.3
马克思传:最新插图本,(英) 戴维·麦克莱伦著,A711/1,8,5,0.63,中国人民大学出版社,2010
毛泽东选集.第三卷.2版,毛泽东著,"A41/2-3=2, 06.2/2034-3=2",19,5,0.26,人民出版社,1991.6
《共产党宣言》导读,李海青著,A811.22/9,5,5,1.0,中共中央党校出版社,2018
资本论.第2卷,(德)马克思著,A123/8-2,6,4,0.67,人民出版社,2018.3
马克思恩格斯的生态文明思想:基于《马克思恩格斯文集》的研究,方世南著,A811.63/31,4,4,1.0,人民出版社,2017
《资本论》导读.第2版,《<资本论>导读》编写组,A811.23/11=2,6,4,0.67,高等教育出版社,2020
毛泽东最后十年:1966-1976毛泽东的最真实记录,"陈长江, 赵桂来著",A752/29,10,4,0.4,中共中央党校出版社,2009
共产党宣言,"马克思, 恩格斯",A811.22/10,4,4,1.0,人民出版社,2014
马克思主义发展史.第2版,《马克思主义发展史》编写组编,A81/179=2,6,4,0.67,高等教育出版社,2021
邓小平传,(英) 理查德·伊文思著,A761/2,6,4,0.67,国际文化出版公司,2013
邓小平时代,(美) 傅高义著,A762/19,7,4,0.57,三联书店,2013
共产党宣言:名家导读,"艾四林, 曲伟杰著",A811.22/29,2,3,1.5,湖南人民出版社,2022
解读青年毛泽东,张锦力著,A752/100,6,3,0.5,中央文献出版社,2018
《共产党宣言》研读,"艾四林, 曲伟杰编著",A811.22/28,2,3,1.5,研究出版社,2021
帝国主义是资本主义的最高阶段,列宁,A224/1,6,3,0.5,人民出版社,2014
"进一步, 退两步",列宁[著],A221.2/1,4,3,0.75,人民出版社,2018
《资本论》导读,《<资本论>导读》编写组,A811.23/11,9,3,0.33,高等教育出版社,2012
马克思《人类学笔记》研究读本,曹典顺,A811.64/22,12,3,0.25,中央编译出版社,2013
反杜林论,恩格斯著,A124/2,8,3,0.38,人民出版社,2015
毛泽东选集.第一卷,毛泽东著,06.2/2034.5,6,3,0.5,人民出版社,1966
马克思主义基本原理:2021年版,本书编写组,A81/268(2021),6,3,0.5,高等教育出版社,2021
邓小平三落三起,"刘金田, 王飞雪著",A762/36,6,2,0.33,红旗出版社,2018
自然的解放:生态学马克思主义研究,侯子峰著,A811.693/18,4,2,0.5,中国社会科学出版社,2018
马克思主义生态学论丛.第一卷,郇庆治主编,A811.693-53/2-1,2,2,1.0,中国环境出版集团,2021
毛泽东传.一.第2版,"主编逄先知, 金冲及",A751/3-1=2,6,2,0.33,中央文献出版社,2011
中国马克思主义经典著作导读,王树荫主编,A5/5,6,2,0.33,北京师范大学出版社,2020
图说资本论,(德) 卡尔·海因里希·马克思著,A811.23/72,4,2,0.5,北京时代华文书局,2020
马克思人与自然关系的社会历史批判研究,汪晓莺著,A811.692/8,4,2,0.5,中国社会科学出版社,2016
马克思主义生态学论丛.第五卷,郇庆治主编,A811.693-53/2-5,2,2,1.0,中国环境出版集团,2021
毛泽东的故事,高津滔编著,A752-49/1,4,2,0.5,人民武警出版社,2012.03
马克思恩格斯的海权理论与海洋强国建设,张峰著,A811.64/60,4,2,0.5,上海人民出版社,2018
马克思恩格斯列宁哲学经典著作导读.第2版,《马克思恩格斯列宁哲学经典著作导读》编写组,A851.63/2=2,6,2,0.33,人民出版社,2020
马克思传,(英) 戴维·麦克莱伦著,A711-64/1=4,2,2,1.0,中国人民大学出版社,2016
资本论.第一卷.上,马克思著,A811.23/14-1(1),1,2,2.0,人民出版社,1975
唯物主义和经验批判主义,列宁著,A223/1,6,2,0.33,人民出版社,2015
作为革命者的斯大林 (1879-1929):一项历史与人格的研究,(美) 罗伯特·C. 塔克著,A741/3,3,2,0.67,中央编译出版社,2011
《黑格尔法哲学批判》导读,何历宇编著,A811.21/9,4,2,0.5,中国民主法制出版社,2017
《共产党宣言》社会主义的里程碑,(英) 哈罗德·约瑟夫·拉斯基著,A811.22/20,4,2,0.5,中国民主法制出版社,2018
《资本论》第1卷研读,王峰明编著,A811.23/82,2,2,1.0,研究出版社,2021
毛泽东传:峥嵘岁月:1893-1923,李锐著,A751/10,4,2,0.5,北京联合出版公司,2013
毛泽东箴言,中国中共文献研究会编订,A48/1,10,2,0.2,人民出版社,2009
生态学马克思主义与后发国家生态文明理论研究,王雨辰著,A811.693/13,4,2,0.5,人民出版社,2017
毛泽东传,(美) 罗斯·特里尔著,A751/12,8,2,0.25,中国人民大学出版社,2013
《资本论》与当代中国经济.3版,陈征等主编,A811.23/42=3,10,2,0.2,福建人民出版社,2017.09
《资本论》解说.第一卷.第四版,陈征著,A811.23/43-1=4,5,2,0.4,福建人民出版社,2017.9
毛泽东真情实录:1949-1976,顾保孜著,A752-64/2,4,2,0.5,中国工人出版社,2016
马克思靠谱.第2版,内蒙轩主编,A711/7=2,2,2,1.0,东方出版社,2016
国史专家解读毛泽东诗词背后的人生,陈东林著,A841.4/4,6,2,0.33,九州出版社,2010
马克思主义发展史,《马克思主义发展史》编写组,A81/179,6,2,0.33,高等教育出版社,2013
马克思主义、毛泽东主义与乌托邦主义:典藏本,(美) 莫里斯·迈斯纳著,A81/48,4,2,0.5,中国人民大学出版社,2013
马克思主义生态学论丛.第三卷,郇庆治主编,A811.693-53/2-3,2,2,1.0,中国环境出版集团,2021
马克思主义生态学论丛.第二卷,郇庆治主编,A811.693-53/2-2,2,2,1.0,中国环境出版集团,2021
马克思主义生态学论丛.第四卷,郇庆治主编,A811.693-53/2-4,2,2,1.0,中国环境出版集团,2021
向毛泽东学管理:中国离不开毛泽东,李凯城著,A841.66/1,6,2,0.33,当代中国出版社,2010.06
《资本论》解说.第二卷.第四版,陈征著,A811.23/43-2=4,5,2,0.4,福建人民出版社,2017.9
《共产党宣言》导读.第2版,总主编艾四林,A811.22/6=2,7,2,0.29,中国民主法制出版社,2018
马克思主义基本原理概论.第2版,本书编写组,A81/7=2,8,2,0.25,高等教育出版社,2008
《共产党宣言》导读,(英) 彼得·兰姆(Peter Lamb)著,A811.22/18,6,2,0.33,中国方正出版社,2019
毛泽东评点古今人物,张明林编著,A841.692/7,3,2,0.67,西宛出版社,2012.01
生活决定意识:《德意志意识形态》研究,李颖姣著,A811.21/6,4,2,0.5,中国社会科学出版社,2016
马克思恩格斯社会建设理论的当代解读:基于《德意志意识形态》的研究,高惠珠等著,A811.21/5,4,2,0.5,人民出版社,2015
共产党宣言:校注本,"马克思, 恩格斯著",A122/5,2,2,1.0,中央编译出版社,2021
1844年经济学哲学手稿,马克思,A811.21/8,4,2,0.5,人民出版社,2014
《共产党宣言》经典文本解读,李世忠著,A811.22/31,2,2,1.0,国家行政管理出版社,2021
资本论:节选本,中共中央马克思恩格斯列宁斯大林著作编译局编译,A123/6,4,2,0.5,人民出版社,2016
马克思恩格斯列宁历史理论经典著作导读.第2版,《马克思恩格斯列宁历史理论经典著作导读》编写组编,A811.64/16=2,6,2,0.33,人民出版社,2020
马列经典著作精选导读,"牛先锋, 王虎学主编",A5/6,4,2,0.5,中共中央党校出版社,2021
毛泽东战略决策思想研究,张爱民著,A84/13,4,2,0.5,北京理工大学出版社,2012
关于施蒂纳虚无主义思想的理论探究,赵亮著,A811.21/20,4,2,0.5,人民出版社,2018
简明《资本论》,(德) 卡尔·马克思著,A123/7,6,2,0.33,天地出版社,2018
蛤蟆先生去看心理医生:a psychological adventure eng,(英) 罗伯特·戴博德(Robert De Board)著,B84-49/332,10,17,1.7,天津人民出版社,2020
被讨厌的勇气:“自我启发之父”阿德勒的哲学课,"(日) 岸见一郎, 古贺史健著",B821-49/509,12,17,1.42,机械工业出版社,2015
心流:最优体验心理学,(美) 米哈里·契克森米哈赖(Mihaly Csikszentmihalyi)著,B84-49/172,8,9,1.13,中信出版集团股份有限公司,2017
规训与惩罚:监狱的诞生.5版,(法)米歇尔·福柯著,B565.59/121=5,6,9,1.5,生活·读书·新知三联书店,2019
认知觉醒:开启自我改变的原动力,周岭著,B848.4-49/999,4,9,2.25,人民邮电出版社,2020
当下的力量:a guide to spiritual enlightenment.第3版,(德) 埃克哈特·托利著,B821-49/327=3,6,8,1.33,中信出版社,2013
刻意练习:如何从新手到大师:secrets from the new science of expertise,"(美) 安德斯·艾利克森, 罗伯特·普尔著",B848.2/6,6,7,1.17,机械工业出版社,2016
活法,(日) 稻盛和夫著,B821-49/394,10,7,0.7,东方出版社,2012
活出生命的意义,(美) 维克多·弗兰克尔著,B84-065/33,6,6,1.0,华夏出版社,2010
人间值得,"(日) 中村恒子, 奥田弘美著",B821-49/958,6,6,1.0,北京日报出版社,2019
理想国.修订版,(古希腊) 柏拉图著,B502.232/48=3,6,6,1.0,河南文艺出版社,2014.08
高效能人士的七个习惯.第9版,(美) 史蒂芬·柯维著,B848.4-49/49=9,11,6,0.55,中国青年出版社,2010
中国哲学简史,冯友兰著,B2/70,10,6,0.6,长江文艺出版社,2015.06
自卑与超越,(奥) 阿尔弗雷德·阿德勒著,B848/53,6,6,1.0,北方文艺出版社,2017
博弈心理学:人际交往中的心理博弈,陈玮著,B84-49/113,8,5,0.63,中央编译出版社,2015
掌控习惯:如何养成好习惯并戒除坏习惯:an easy & proven way to build good habits & break bad ones,(美) 詹姆斯·克利尔著,B842.6-49/238,10,5,0.5,北京联合出版公司,2019
刘擎西方现代思想讲义,刘擎著,B5/103,6,5,0.83,新星出版社,2021
共情的能力,(美) 卡拉·麦克拉伦(Karla McLaren)著,B84-49/390,2,5,2.5,浙江教育出版社,2022
